"ad_date","platform","avg_daily_spend","min_daily_spend","max_daily_spend"
2021-01-13,Google,5197.00,282.00,10112.00
2021-01-14,Facebook,72.00,72.00,72.00
2021-01-14,Google,3318.00,3318.00,3318.00
2021-01-15,Facebook,3916.50,234.00,7599.00
2021-01-16,Facebook,6410.50,186.00,12635.00
2021-01-16,Google,1552.50,50.00,3055.00
2021-01-17,Facebook,3666.00,3666.00,3666.00
2021-01-17,Google,3797.00,41.00,7553.00
2021-01-18,Facebook,1531.50,328.00,2735.00
2021-01-18,Google,405.00,58.00,752.00
2021-01-19,Facebook,592.00,64.00,1120.00
2021-01-19,Google,21.00,21.00,21.00
2021-01-20,Facebook,952.50,311.00,1594.00
2021-01-20,Google,704.50,142.00,1267.00
2021-01-21,Facebook,883.00,218.00,1548.00
2021-01-21,Google,1791.00,1791.00,1791.00
2021-01-22,Facebook,1107.00,136.00,2078.00
2021-01-22,Google,906.50,58.00,1755.00
2021-01-23,Facebook,711.00,711.00,711.00
2021-01-23,Google,235.00,235.00,235.00
2021-01-24,Facebook,1092.50,8.00,2177.00
2021-01-24,Google,1158.00,21.00,2295.00
2021-01-25,Facebook,1413.00,1413.00,1413.00
2021-01-25,Google,1278.00,1278.00,1278.00
2021-01-26,Facebook,993.50,144.00,1843.00
2021-01-27,Facebook,866.33,168.00,1878.00
2021-01-28,Facebook,1422.50,109.00,2736.00
2021-01-28,Google,394.00,394.00,394.00
2021-01-29,Facebook,996.00,996.00,996.00
2021-01-30,Google,2077.00,2077.00,2077.00
2021-01-31,Facebook,1278.00,1278.00,1278.00
2021-01-31,Google,1269.00,1269.00,1269.00
2021-02-01,Facebook,2800.00,2800.00,2800.00
2021-02-01,Google,2096.00,2096.00,2096.00
2021-02-02,Facebook,2869.00,2869.00,2869.00
2021-02-02,Google,829.00,829.00,829.00
2021-02-03,Facebook,735.00,735.00,735.00
2021-02-03,Google,817.00,817.00,817.00
2021-02-04,Facebook,708.00,708.00,708.00
2021-02-04,Google,2156.00,2156.00,2156.00
2021-02-05,Facebook,1075.00,1075.00,1075.00
2021-02-05,Google,1286.00,1286.00,1286.00
2021-02-06,Facebook,1226.00,1226.00,1226.00
2021-02-06,Google,1544.00,1544.00,1544.00
2021-02-07,Facebook,789.00,789.00,789.00
2021-02-08,Facebook,596.00,596.00,596.00
2021-02-08,Google,516.00,516.00,516.00
2021-02-09,Facebook,585.00,585.00,585.00
2021-02-09,Google,2156.00,2156.00,2156.00
2021-02-10,Facebook,2410.00,2410.00,2410.00
2021-02-10,Google,1947.00,1947.00,1947.00
2021-02-11,Facebook,1053.00,1053.00,1053.00
2021-02-12,Facebook,1432.00,1432.00,1432.00
2021-02-12,Google,1570.00,1570.00,1570.00
2021-02-13,Facebook,2884.00,2884.00,2884.00
2021-02-13,Google,799.00,799.00,799.00
2021-02-14,Facebook,2791.00,2791.00,2791.00
2021-02-14,Google,1974.00,1974.00,1974.00
2021-02-15,Facebook,2153.00,2153.00,2153.00
2021-02-15,Google,1158.00,1158.00,1158.00
2021-02-16,Facebook,2225.00,2225.00,2225.00
2021-02-17,Facebook,639.00,639.00,639.00
2021-02-17,Google,1979.00,1979.00,1979.00
2021-02-18,Facebook,1879.00,1879.00,1879.00
2021-02-18,Google,2305.00,2305.00,2305.00
2021-02-19,Facebook,1063.00,82.00,2044.00
2021-02-20,Facebook,2396.50,162.00,4631.00
2021-02-20,Google,3562.00,3562.00,3562.00
2021-02-21,Facebook,2001.50,168.00,3835.00
2021-02-22,Facebook,2805.50,184.00,5427.00
2021-02-22,Google,5231.00,5231.00,5231.00
2021-02-23,Facebook,3319.00,3319.00,3319.00
2021-02-24,Facebook,5620.00,5620.00,5620.00
2021-02-24,Google,1948.00,1948.00,1948.00
2021-02-25,Facebook,3190.00,3190.00,3190.00
2021-02-25,Google,1479.00,1479.00,1479.00
2021-02-27,Facebook,0.00,0.00,0.00
2021-02-27,Google,0.00,0.00,0.00
2021-02-28,Facebook,0.00,0.00,0.00
2021-02-28,Google,0.00,0.00,0.00
2021-03-05,Facebook,749.00,749.00,749.00
2021-03-06,Facebook,1025.00,1025.00,1025.00
2021-03-07,Facebook,649.00,649.00,649.00
2021-03-09,Facebook,510.00,510.00,510.00
2021-03-10,Facebook,702.00,702.00,702.00
2021-03-11,Facebook,920.00,920.00,920.00
2021-03-12,Facebook,832.00,832.00,832.00
2021-03-13,Facebook,81.00,81.00,81.00
2021-04-07,Facebook,71.00,71.00,71.00
2021-04-08,Facebook,447.50,326.00,569.00
2021-04-09,Facebook,204.00,86.00,322.00
2021-04-10,Facebook,240.50,211.00,270.00
2021-04-14,Facebook,4333.00,4333.00,4333.00
2021-04-14,Google,13935.00,13935.00,13935.00
2021-04-15,Facebook,5443.00,5443.00,5443.00
2021-04-15,Google,3288.00,3288.00,3288.00
2021-04-16,Facebook,8602.00,8602.00,8602.00
2021-04-16,Google,8969.00,8969.00,8969.00
2021-04-17,Facebook,6244.00,6244.00,6244.00
2021-04-18,Facebook,6705.00,6705.00,6705.00
2021-04-18,Google,12835.00,12835.00,12835.00
2021-04-19,Facebook,16880.00,16880.00,16880.00
2021-04-19,Google,5962.00,5962.00,5962.00
2021-04-20,Facebook,17115.00,17115.00,17115.00
2021-04-20,Google,9720.00,9720.00,9720.00
2021-04-21,Facebook,8331.00,8331.00,8331.00
2021-04-21,Google,5284.00,5284.00,5284.00
2021-04-22,Facebook,12584.00,12584.00,12584.00
2021-04-22,Google,3037.00,3037.00,3037.00
2021-04-23,Google,5111.00,5111.00,5111.00
2021-04-24,Facebook,4255.50,1139.00,7372.00
2021-04-25,Facebook,7031.50,2043.00,12020.00
2021-04-25,Google,2933.00,2933.00,2933.00
2021-04-26,Facebook,9661.50,2327.00,16996.00
2021-04-26,Google,2885.50,616.00,5155.00
2021-04-27,Facebook,1307.00,1307.00,1307.00
2021-04-27,Google,9524.00,9524.00,9524.00
2021-04-28,Facebook,1742.00,1742.00,1742.00
2021-04-28,Google,5422.00,5422.00,5422.00
2021-04-29,Facebook,446.00,446.00,446.00
2021-04-29,Google,1834.00,1834.00,1834.00
2021-04-30,Facebook,2751.00,2006.00,3496.00
2021-04-30,Google,973.00,973.00,973.00
2021-05-01,Facebook,5127.00,1985.00,8269.00
2021-05-01,Google,8618.00,8618.00,8618.00
