event_date,source,medium,campaign,user_sessions_count,visit_to_cart,visit_to_checkout,visit_to_purchase
2020-11-08,google,organic,(organic),656,0.0,0.051829268292682924,0.013719512195121951
2020-11-08,<Other>,<Other>,<Other>,309,0.0,0.061488673139158574,0.016181229773462782
2020-11-08,<Other>,referral,(referral),216,0.0,0.050925925925925923,0.013888888888888888
2020-11-08,(data deleted),(data deleted),(data deleted),137,0.0,0.0364963503649635,0.029197080291970802
2020-11-08,shop.googlemerchandisestore.com,referral,(referral),192,0.0,0.046875,0.020833333333333332
2020-11-08,google,cpc,<Other>,88,0.0,0.0,0.0
2020-11-08,<Other>,organic,(organic),56,0.0,0.0,0.0
2020-11-08,<Other>,(data deleted),(data deleted),3,0.0,0.0,0.0
2020-11-08,(data deleted),(data deleted),<Other>,2,0.0,0.5,0.5
2020-11-09,<Other>,<Other>,<Other>,456,0.0,0.039473684210526314,0.013157894736842105
2020-11-09,(direct),(none),(direct),787,0.0,0.053367217280813214,0.01397712833545108
2020-11-09,google,organic,(organic),973,0.0,0.038026721479958892,0.010277492291880781
2020-11-09,google,cpc,<Other>,122,0.0,0.032786885245901641,0.0
2020-11-09,<Other>,referral,(referral),294,0.0,0.034013605442176874,0.01020408163265306
2020-11-09,(data deleted),(data deleted),(data deleted),230,0.0,0.052173913043478258,0.026086956521739129
2020-11-09,shop.googlemerchandisestore.com,referral,(referral),264,0.0,0.045454545454545456,0.01893939393939394
2020-11-09,<Other>,organic,(organic),90,0.0,0.022222222222222223,0.011111111111111112
2020-11-09,<Other>,(data deleted),(data deleted),8,0.0,0.0,0.0
2020-11-09,(data deleted),(data deleted),<Other>,6,0.0,0.0,0.0
2020-11-10,(direct),(none),(direct),850,0.0,0.051764705882352942,0.018823529411764704
2020-11-10,shop.googlemerchandisestore.com,referral,(referral),346,0.0,0.049132947976878616,0.02023121387283237
2020-11-10,<Other>,referral,(referral),387,0.0,0.043927648578811367,0.0103359173126615
2020-11-10,google,organic,(organic),1151,0.0,0.033883579496090353,0.013032145960034752
2020-11-10,(data deleted),(data deleted),(data deleted),268,0.0,0.048507462686567165,0.026119402985074626
2020-11-10,<Other>,<Other>,<Other>,519,0.0,0.050096339113680152,0.019267822736030827
2020-11-10,google,cpc,<Other>,159,0.0,0.056603773584905662,0.012578616352201259
2020-11-10,<Other>,organic,(organic),93,0.0,0.043010752688172046,0.021505376344086023
2020-11-10,<Other>,(data deleted),(data deleted),7,0.0,0.2857142857142857,0.0
2020-11-10,(data deleted),(data deleted),<Other>,3,0.0,0.33333333333333331,0.33333333333333331
2020-11-11,shop.googlemerchandisestore.com,referral,(referral),309,0.0,0.045307443365695796,0.016181229773462782
2020-11-11,google,organic,(organic),1187,0.0,0.042965459140690818,0.011794439764111205
2020-11-11,(direct),(none),(direct),827,0.0,0.035066505441354291,0.016928657799274487
2020-11-11,(data deleted),(data deleted),(data deleted),280,0.0,0.064285714285714279,0.03214285714285714
2020-11-11,<Other>,<Other>,<Other>,529,0.0,0.03780718336483932,0.013232514177693762
2020-11-11,<Other>,referral,(referral),348,0.0,0.05459770114942529,0.025862068965517241
2020-11-11,google,cpc,<Other>,180,0.0,0.03888888888888889,0.016666666666666666
2020-11-11,<Other>,organic,(organic),97,0.0,0.051546391752577317,0.020618556701030927
2020-11-11,<Other>,(data deleted),(data deleted),7,0.0,0.0,0.0
2020-11-11,(data deleted),(data deleted),<Other>,2,0.0,0.0,0.0
2020-11-12,(direct),(none),(direct),873,0.0,0.038946162657502864,0.011454753722794959
2020-11-12,(data deleted),(data deleted),(data deleted),270,0.0,0.029629629629629631,0.011111111111111112
2020-11-12,<Other>,referral,(referral),349,0.0,0.048710601719197708,0.011461318051575931
2020-11-12,google,organic,(organic),1073,0.0,0.051258154706430567,0.010251630941286114
2020-11-12,<Other>,<Other>,<Other>,488,0.0,0.049180327868852458,0.010245901639344262
2020-11-12,<Other>,organic,(organic),96,0.0,0.020833333333333332,0.0
2020-11-12,google,cpc,<Other>,132,0.0,0.045454545454545456,0.007575757575757576
2020-11-12,shop.googlemerchandisestore.com,referral,(referral),341,0.0,0.064516129032258063,0.0469208211143695
2020-11-12,<Other>,(data deleted),(data deleted),6,0.0,0.0,0.0
2020-11-12,(data deleted),(data deleted),<Other>,9,0.0,0.22222222222222221,0.1111111111111111
2020-11-13,<Other>,<Other>,<Other>,458,0.0,0.06768558951965066,0.024017467248908297
2020-11-13,(direct),(none),(direct),815,0.0,0.046625766871165646,0.017177914110429449
2020-11-13,shop.googlemerchandisestore.com,referral,(referral),278,0.0,0.061151079136690649,0.025179856115107913
2020-11-13,(data deleted),(data deleted),(data deleted),236,0.0,0.097457627118644072,0.067796610169491525
2020-11-13,<Other>,referral,(referral),309,0.0,0.045307443365695796,0.016181229773462782
2020-11-13,google,organic,(organic),1004,0.0,0.055776892430278883,0.013944223107569721
2020-11-13,google,cpc,<Other>,116,0.0,0.017241379310344827,0.0
2020-11-13,<Other>,organic,(organic),75,0.0,0.066666666666666666,0.026666666666666668
2020-11-13,(data deleted),(data deleted),<Other>,4,0.0,0.0,0.0
2020-11-13,<Other>,(data deleted),(data deleted),6,0.0,0.0,0.0
2020-11-13,<Other>,<Other>,(data deleted),1,0.0,0.0,0.0
2020-11-14,(direct),(none),(direct),506,0.0,0.037549407114624504,0.009881422924901186
